Moisture,Humidity
48,51
266,51
359,56
286,70
355,70
15,40
167,54
312,42
246,41
332,68
257,64
52,68
252,66
150,50
28,63
38,58
226,64
68,66
104,40
137,69
131,62
151,66
124,66
295,67
213,49
60,62
129,69
337,55
363,41
141,41
290,41
347,45
215,67
325,64
155,58
355,54
175,63
345,65
384,68
280,59
229,52
237,51
211,52
367,55
266,54
120,46
122,63
109,43
78,41
0,53
238,68
117,47
204,69
234,57
96,70
385,62
147,60
307,49
158,51
202,66
146,59
3,45
320,48
222,66
116,49
310,68
182,58
157,44
285,54
229,43
213,66
74,44
299,55
256,62
202,54
249,58
231,56
245,58
152,55
279,47
147,43
267,46
93,45
17,62
206,54
119,45
244,61
378,43
390,59
125,59
97,47
234,42
96,42
188,69
346,40
207,42
93,41
7,59
332,58
185,63
52,46
54,56
269,58
202,43
275,57
179,60
162,57
138,48
202,41
154,55
11,44
213,52
220,44
32,58
253,68
77,43
248,42
193,42
317,50
191,60
254,57
188,60
171,68
168,53
171,49
257,45
108,57
134,62
46,59
363,59
398,47
393,46
251,67
153,61
255,69
147,52
400,59
180,67
200,41
164,49
203,48
141,57
218,46
381,55
105,41
270,57
174,41
357,60
47,65
55,49
262,51
94,64
131,70
389,70
310,63
119,41
361,59
55,69
86,50
307,46
232,62
162,42
18,44
370,67
165,62
37,53
361,70
398,61
58,46
124,58
372,51
325,51
229,45
32,51
334,40
369,66
399,62
69,51
60,60
342,46
249,47
320,50
300,53
155,44
276,45
102,63
287,66
156,59
373,68
383,41
59,42
273,68
180,43
174,56
91,68
357,48
113,67
132,62
17,63
324,68
274,68
257,44
84,54
395,44
51,67
363,55
80,64
133,62
155,70
245,52
400,55
334,65
281,68
12,63
32,46
111,49
319,57
365,42
38,49
126,58
266,62
187,42
61,67
226,45
322,56
64,54
182,65
244,62
263,47
73,50
144,42
178,56
250,40
4,50
354,41
3,44
32,55
315,53
41,56
215,40
115,51
46,62
133,40
225,56
326,70
351,53
334,46
83,45
352,41
247,40
84,55
352,56
265,56
172,42
96,45
232,61
189,46
25,46
200,55
296,61
319,47
323,57
251,66
118,64
49,50
52,46
320,65
141,45
381,43
88,42
168,53
250,70
15,59
205,54
274,69
298,52
291,64
246,56
146,59
149,40
179,54
394,45
327,52
350,57
263,41
180,44
263,70
132,56
221,44
144,59
209,49
250,54
97,47
244,51
225,41
152,59
154,41
315,45
346,62
371,67
161,58
350,51
85,44
28,44
224,67
180,53
373,48
276,69
64,59
120,66
354,66
23,51
246,65
153,50
306,52
34,50
53,50
54,53
204,67
70,45
342,53
72,60
46,46
228,41
390,48
341,57
54,59
205,49
172,70
400,42
224,60
208,47
44,66
321,41
297,69
354,63
356,66
94,62
363,44
354,65
347,48
207,44
146,69
173,58
360,65
166,68
371,45
221,64
391,43
205,57
192,59
326,45
306,70
28,69
339,50
245,46
199,59
298,70
176,59
174,70
341,64
147,40
108,42
234,45
352,62
72,63
301,46
302,57
238,59
271,54
308,70
116,50
107,41
344,59
102,54
27,58
174,65
99,45
95,52
88,42
201,49
279,55
330,61
140,61
258,52
200,45
236,66
67,45
135,49
336,47
181,54
366,41
376,69
236,41
369,67
277,61
140,60
211,43
5,58
289,61
13,49
148,52
330,58
277,43
106,62
64,65
248,61
139,51
253,67
163,63
92,43
196,55
207,48
147,49
166,70
309,64
51,64
179,59
294,46
209,55
56,56
127,59
341,55
216,63
154,45
220,41
327,53
296,55
176,48
221,58
394,68
337,52
32,48
237,69
347,50
75,45
259,42
231,42
97,61
41,62
354,55
257,64
140,60
56,41
154,42
203,69
145,58
62,61
83,64
194,67
149,57
232,65
86,70
44,49
284,41
189,49
279,69
296,60
272,63
267,55
394,49
98,44
284,42
27,52
112,44
114,60
318,60
58,58
27,62
19,68
68,43
354,53
153,46
140,44
218,69
261,45
51,61
336,44
41,50
270,52
66,67
96,54
90,46
393,58
326,55
146,40
252,64
58,51
182,51
396,70
244,49
347,69
4,57
374,43
311,56
273,66
290,43
93,60
249,44
288,64
252,56
136,58
322,55
233,55
212,54
311,41
201,58
168,58
327,68
8,62
140,57
113,70
15,41
338,42
370,53
339,43
222,55
186,43
314,45
9,62
262,51
84,50
332,66
250,63
273,69
103,69
77,40
353,46
312,67
12,47
269,46
372,66
152,50
73,69
370,58
190,52
147,62
46,67
316,64
147,70
364,58
118,43
297,47
74,49
332,51
276,50
206,53
17,64
324,52
399,40
248,64
114,65
147,43
144,46
96,40
363,46
150,43
169,51
365,52
149,53
321,52
42,52
393,41
358,51
302,64
347,44
330,48
38,57
284,66
297,44
59,67
212,45
70,63
246,61
387,43
389,58
387,55
170,66
59,52
59,54
181,48
115,52
304,68
174,59
258,58
111,51
222,49
162,60
281,53
8,52
272,55
388,65
227,69
336,60
76,51
388,50
356,57
243,63
246,48
270,56
69,47
168,56
226,60
73,64
109,47
388,46
16,48
187,65
370,45
218,51
92,44
275,64
248,60
242,59
156,60
183,53
357,56
229,56
